system   D            wsystem.c:583  maybe_parent_dir                 [   0.00058] Also searching C:\Users\tombn\HeelsMackenzie\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00101] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00108] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01090] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.04632] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.04637] Allegro version: 5.0.8
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.04703] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.04706] al_display=00223FE0
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.04707] al_display->vt=00221C88
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04772] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.04775] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04777] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04778] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04779] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04781] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04782] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04783] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04785] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04786] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04787] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04789] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04790] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04791] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04793] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04794] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04796] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04797] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04798] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04800] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04801] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04802] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04804] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04805] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04809] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04811] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04812] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04813] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04815] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04816] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04818] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04819] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04820] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04822] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04823] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04824] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04826] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04827] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
